"Stkcd","Stknme","Conme","Listdt"
"000848","承德露露","承德露露股份公司","1997-11-13"
"000850","华茂股份","安徽华茂纺织股份有限公司","1998-10-07"
"000851","高鸿股份","大唐高鸿网络股份有限公司","1998-06-09"
"000852","石化机械","中石化石油机械股份有限公司","1998-11-26"
"000856","冀东装备","唐山冀东装备工程股份有限公司","1998-08-13"
"000858","五粮液","宜宾五粮液股份有限公司","1998-04-27"
"000859","国风新材","安徽国风新材料股份有限公司","1998-11-19"
"000860","顺鑫农业","北京顺鑫农业股份有限公司","1998-11-04"
"000861","海印股份","广东海印集团股份有限公司","1998-10-28"
"000862","银星能源","宁夏银星能源股份有限公司","1998-09-15"
"000863","三湘印象","三湘印象股份有限公司","1997-09-25"
"000866","扬子退市","中国石化扬子石油化工股份有限公司","1998-05-12"
"000868","安凯客车","安徽安凯汽车股份有限公司","1997-07-25"
"000869","张裕A","烟台张裕葡萄酿酒股份有限公司","2000-10-26"
"000875","吉电股份","吉林电力股份有限公司","2002-09-26"
"000876","新希望","新希望六和股份有限公司","1998-03-11"
"000877","天山股份","新疆天山水泥股份有限公司","1999-01-07"
"000878","云南铜业","云南铜业股份有限公司","1998-06-02"
"000880","潍柴重机","潍柴重机股份有限公司","1998-04-02"
"000881","中广核技","中广核核技术发展股份有限公司","1998-09-02"
"000882","华联股份","北京华联商厦股份有限公司","1998-06-16"
"000883","湖北能源","湖北能源集团股份有限公司","1998-05-19"
"000885","城发环境","城发环境股份有限公司","1999-03-19"
"000886","海南高速","海南高速公路股份有限公司","1998-01-23"
"000887","中鼎股份","安徽中鼎密封件股份有限公司","1998-12-03"
"000888","峨眉山A","峨眉山旅游股份有限公司","1997-10-21"
"000889","ST 中嘉","中嘉博创信息技术股份有限公司","1997-12-18"
"000890","法尔胜","江苏法尔胜股份有限公司","1999-01-19"
"000892","欢瑞世纪","欢瑞世纪联合股份有限公司","1999-01-15"
"000893","亚钾国际","亚钾国际投资(广州)股份有限公司","1998-12-24"
"000895","双汇发展","河南双汇投资发展股份有限公司","1998-12-10"
