Stkcd,Trddt,Opnprc,Clsprc
300256,2022/6/1,2.7,2.71
300257,2022/6/1,14.4,14.38
300258,2022/6/1,10.15,10.39
300259,2022/6/1,3.48,3.55
300260,2022/6/1,38.5,39.15
300261,2022/6/1,14,13.73
300262,2022/6/1,2.79,2.84
300263,2022/6/1,7.21,7.21
300264,2022/6/1,6.05,5.94
300265,2022/6/1,8.43,8.5
300266,2022/6/1,3.34,3.46
300267,2022/6/1,3.3,3.31
300268,2022/6/1,30.2,28.38
300269,2022/6/1,3.73,3.8
300270,2022/6/1,5.59,5.59
300271,2022/6/1,6.98,7.03
300272,2022/6/1,5.59,5.57
300273,2022/6/1,2.09,2.07
300274,2022/6/1,79.55,80.8
300275,2022/6/1,12.59,13.07
300276,2022/6/1,3.62,3.68
300277,2022/6/1,6.56,6.66
300278,2022/6/1,5.09,5.02
300279,2022/6/1,5.34,5.37
300280,2022/6/1,22.62,22.69
300281,2022/6/1,5.18,5.27
300282,2022/6/1,3.03,3.12
300283,2022/6/1,5.71,5.78
300284,2022/6/1,7.05,6.93
300285,2022/6/1,35.7,35.68
300286,2022/6/1,22.68,22.4
300287,2022/6/1,3.92,3.92
300288,2022/6/1,9.76,9.85
300289,2022/6/1,6.13,6.19
300290,2022/6/1,4.37,4.51
300291,2022/6/1,4.43,4.5
300292,2022/6/1,3.47,3.46
300293,2022/6/1,9.11,9.13
300294,2022/6/1,31.97,31.7
300295,2022/6/1,9.32,9.41
300296,2022/6/1,6.19,6.27
300297,2022/6/1,1.52,1.52
300298,2022/6/1,19.64,20.53
300299,2022/6/1,6.34,6.35
300300,2022/6/1,3.9,3.92
300301,2022/6/1,1.81,1.79
300302,2022/6/1,7.56,7.58
300303,2022/6/1,4.33,4.3
300304,2022/6/1,4.84,4.86
300305,2022/6/1,13.78,13.16
300306,2022/6/1,10.35,10.44
300307,2022/6/1,4.8,4.85
300308,2022/6/1,32.01,32.2
300309,2022/6/1,1.45,1.43
300310,2022/6/1,4.11,4.15
300311,2022/6/1,6.16,6.26
300313,2022/6/1,7.2,6.89
300314,2022/6/1,9.87,10.03
300315,2022/6/1,3.1,3.11
300316,2022/6/1,54.9,54.2
300317,2022/6/1,5.53,5.78
300318,2022/6/1,6.31,6.23
300319,2022/6/1,8.9,8.79
300320,2022/6/1,10.97,11.09
300321,2022/6/1,15.6,15.75
300322,2022/6/1,9.08,9.54
300323,2022/6/1,7.01,7.07
300324,2022/6/1,2.88,2.94
300326,2022/6/1,7.33,7.45
300327,2022/6/1,55.02,53.2
300328,2022/6/1,7.23,7.47
300329,2022/6/1,6.84,6.86
300330,2022/6/1,9.05,9.07
300331,2022/6/1,17.04,16.5
300332,2022/6/1,9.03,9.08
300333,2022/6/1,6.23,6.36
300334,2022/6/1,7.5,7.43
300335,2022/6/1,4.71,4.75
300336,2022/6/1,1.81,1.73
300337,2022/6/1,7.12,7.15
300338,2022/6/1,2.67,2.58
300339,2022/6/1,15.58,16.09
300340,2022/6/1,12.91,13.21
300341,2022/6/1,8.58,8.78
300342,2022/6/1,9,8.98
